category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,privacyNum,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,frequency,imagePath,originCategory,datasetName,id,nationality,bbox
Man,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,Male,10,CrowdWorks,5,5,8,8,7,1,03feb3e6845bc3aa.jpg,Man,OpenImages,03feb3e6845bc3aa_BLUE THUNDER_Man,Japan,"[0, 0, 0, 0]"
Clothing,"[1, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",22,Male,9,Prolific,5,8,6,7,8,0,03feb3e6845bc3aa.jpg,Clothing,OpenImages,03feb3e6845bc3aa_5a062680c259f300017656b3_Clothing,UK,"[0, 0, 0, 0]"
Man,"[1, 1, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",22,Male,9,Prolific,5,8,6,7,8,0,03feb3e6845bc3aa.jpg,Man,OpenImages,03feb3e6845bc3aa_5a062680c259f300017656b3_Man,UK,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Female,4,Prolific,8,9,9,6,5,3,03feb3e6845bc3aa.jpg,Clothing,OpenImages,03feb3e6845bc3aa_611572b4abe6a1bfe26001a3_Clothing,UK,"[0, 0, 0, 0]"
Man,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Female,4,Prolific,8,9,9,6,5,3,03feb3e6845bc3aa.jpg,Man,OpenImages,03feb3e6845bc3aa_611572b4abe6a1bfe26001a3_Man,UK,"[0, 0, 0, 0]"
sofa,"[1, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",37,Female,7,CrowdWorks,6,4,7,7,10,0,173825.jpg,sofa,LVIS,173825_marioiram_sofa,Japan,"[0, 0, 0, 0]"
sofa,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",27,Female,9,CrowdWorks,9,7,6,3,9,3,173825.jpg,sofa,LVIS,173825_Emma.M_sofa,Japan,"[0, 0, 0, 0]"
sofa,"[1, 0, 1, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",21,Male,3,Prolific,3,6,6,7,9,1,173825.jpg,sofa,LVIS,173825_63e546e24eee3ecb827d167b_sofa,UK,"[0, 0, 0, 0]"
sofa,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Female,7,Prolific,5,7,9,7,9,1,173825.jpg,sofa,LVIS,173825_5eefd8d2fcd162168fd6697a_sofa,UK,"[0, 0, 0, 0]"
Bronze sculpture,"[0, 1, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]",58,Female,7,CrowdWorks,5,6,6,7,10,2,151f9892b4cd5ba3.jpg,Bronze sculpture,OpenImages,151f9892b4cd5ba3_puipopo_Bronze sculpture,Japan,"[0, 0, 0, 0]"
Sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",58,Female,7,CrowdWorks,5,6,6,7,10,2,151f9892b4cd5ba3.jpg,Sculpture,OpenImages,151f9892b4cd5ba3_puipopo_Sculpture,Japan,"[0, 0, 0, 0]"
Bronze sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Male,3,CrowdWorks,6,8,4,6,8,1,151f9892b4cd5ba3.jpg,Bronze sculpture,OpenImages,151f9892b4cd5ba3_kimetuchan_Bronze sculpture,Japan,"[0, 0, 0, 0]"
Sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Male,3,CrowdWorks,6,8,4,6,8,1,151f9892b4cd5ba3.jpg,Sculpture,OpenImages,151f9892b4cd5ba3_kimetuchan_Sculpture,Japan,"[0, 0, 0, 0]"
Bronze sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",29,Male,1,Prolific,4,7,6,9,6,3,151f9892b4cd5ba3.jpg,Bronze sculpture,OpenImages,151f9892b4cd5ba3_580596bebd8a970001fdf58d_Bronze sculpture,UK,"[0, 0, 0, 0]"
Sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",29,Male,1,Prolific,4,7,6,9,6,3,151f9892b4cd5ba3.jpg,Sculpture,OpenImages,151f9892b4cd5ba3_580596bebd8a970001fdf58d_Sculpture,UK,"[0, 0, 0, 0]"
Bronze sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Female,6,Prolific,6,6,8,9,9,0,151f9892b4cd5ba3.jpg,Bronze sculpture,OpenImages,151f9892b4cd5ba3_5f2460917bb0bd0183f28780_Bronze sculpture,UK,"[0, 0, 0, 0]"
Sculpture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Female,6,Prolific,6,6,8,9,9,0,151f9892b4cd5ba3.jpg,Sculpture,OpenImages,151f9892b4cd5ba3_5f2460917bb0bd0183f28780_Sculpture,UK,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",40,Male,10,CrowdWorks,6,6,6,8,4,1,04b9f8abc09386ee.jpg,Dog,OpenImages,04b9f8abc09386ee_luka1442_Dog,Japan,"[0, 0, 0, 0]"
Person,"[1, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,10,CrowdWorks,6,6,6,8,4,1,04b9f8abc09386ee.jpg,Person,OpenImages,04b9f8abc09386ee_luka1442_Person,Japan,"[0, 0, 0, 0]"
Plant,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,10,CrowdWorks,6,6,6,8,4,1,04b9f8abc09386ee.jpg,Plant,OpenImages,04b9f8abc09386ee_luka1442_Plant,Japan,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 1, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Male,10,CrowdWorks,6,6,6,8,4,1,04b9f8abc09386ee.jpg,Clothing,OpenImages,04b9f8abc09386ee_luka1442_Clothing,Japan,"[0, 0, 0, 0]"
Tree,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,10,CrowdWorks,6,6,6,8,4,1,04b9f8abc09386ee.jpg,Tree,OpenImages,04b9f8abc09386ee_luka1442_Tree,Japan,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,3,CrowdWorks,5,6,5,9,6,2,04b9f8abc09386ee.jpg,Dog,OpenImages,04b9f8abc09386ee_famishedleo1979_Dog,Japan,"[0, 0, 0, 0]"
Person,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,3,CrowdWorks,5,6,5,9,6,2,04b9f8abc09386ee.jpg,Person,OpenImages,04b9f8abc09386ee_famishedleo1979_Person,Japan,"[0, 0, 0, 0]"
Plant,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,3,CrowdWorks,5,6,5,9,6,2,04b9f8abc09386ee.jpg,Plant,OpenImages,04b9f8abc09386ee_famishedleo1979_Plant,Japan,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,3,CrowdWorks,5,6,5,9,6,2,04b9f8abc09386ee.jpg,Clothing,OpenImages,04b9f8abc09386ee_famishedleo1979_Clothing,Japan,"[0, 0, 0, 0]"
Tree,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,3,CrowdWorks,5,6,5,9,6,2,04b9f8abc09386ee.jpg,Tree,OpenImages,04b9f8abc09386ee_famishedleo1979_Tree,Japan,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,2,Prolific,3,6,9,6,9,3,04b9f8abc09386ee.jpg,Dog,OpenImages,04b9f8abc09386ee_634e6b9eb99a113db661de55_Dog,UK,"[0, 0, 0, 0]"
Person,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,2,Prolific,3,6,9,6,9,3,04b9f8abc09386ee.jpg,Person,OpenImages,04b9f8abc09386ee_634e6b9eb99a113db661de55_Person,UK,"[0, 0, 0, 0]"
Plant,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,2,Prolific,3,6,9,6,9,3,04b9f8abc09386ee.jpg,Plant,OpenImages,04b9f8abc09386ee_634e6b9eb99a113db661de55_Plant,UK,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,2,Prolific,3,6,9,6,9,3,04b9f8abc09386ee.jpg,Clothing,OpenImages,04b9f8abc09386ee_634e6b9eb99a113db661de55_Clothing,UK,"[0, 0, 0, 0]"
Tree,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,2,Prolific,3,6,9,6,9,3,04b9f8abc09386ee.jpg,Tree,OpenImages,04b9f8abc09386ee_634e6b9eb99a113db661de55_Tree,UK,"[0, 0, 0, 0]"
Dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,4,Prolific,8,6,4,6,6,1,04b9f8abc09386ee.jpg,Dog,OpenImages,04b9f8abc09386ee_63d14a2ec69796409fb5269f_Dog,UK,"[0, 0, 0, 0]"
Person,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,4,Prolific,8,6,4,6,6,1,04b9f8abc09386ee.jpg,Person,OpenImages,04b9f8abc09386ee_63d14a2ec69796409fb5269f_Person,UK,"[0, 0, 0, 0]"
Plant,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,4,Prolific,8,6,4,6,6,1,04b9f8abc09386ee.jpg,Plant,OpenImages,04b9f8abc09386ee_63d14a2ec69796409fb5269f_Plant,UK,"[0, 0, 0, 0]"
Clothing,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,4,Prolific,8,6,4,6,6,1,04b9f8abc09386ee.jpg,Clothing,OpenImages,04b9f8abc09386ee_63d14a2ec69796409fb5269f_Clothing,UK,"[0, 0, 0, 0]"
Tree,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,4,Prolific,8,6,4,6,6,1,04b9f8abc09386ee.jpg,Tree,OpenImages,04b9f8abc09386ee_63d14a2ec69796409fb5269f_Tree,UK,"[0, 0, 0, 0]"
Fashion accessory,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",41,Female,4,CrowdWorks,5,6,10,4,6,1,a4ce8204dc010b24.jpg,Fashion accessory,OpenImages,a4ce8204dc010b24_レイトン愛加_Fashion accessory,Japan,"[0, 0, 0, 0]"
Cosmetics,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",41,Female,4,CrowdWorks,5,6,10,4,6,1,a4ce8204dc010b24.jpg,Cosmetics,OpenImages,a4ce8204dc010b24_レイトン愛加_Cosmetics,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",41,Female,4,CrowdWorks,5,6,10,4,6,1,a4ce8204dc010b24.jpg,Object 0,OpenImages,a4ce8204dc010b24_レイトン愛加_Object 0,Japan,"[0, 0, 0, 0]"
Fashion accessory,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Male,7,CrowdWorks,6,6,5,7,6,3,a4ce8204dc010b24.jpg,Fashion accessory,OpenImages,a4ce8204dc010b24_fujisa1990_Fashion accessory,Japan,"[0, 0, 0, 0]"
Cosmetics,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Male,7,CrowdWorks,6,6,5,7,6,3,a4ce8204dc010b24.jpg,Cosmetics,OpenImages,a4ce8204dc010b24_fujisa1990_Cosmetics,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",32,Male,7,CrowdWorks,6,6,5,7,6,3,a4ce8204dc010b24.jpg,Object 0,OpenImages,a4ce8204dc010b24_fujisa1990_Object 0,Japan,"[0, 0, 0, 0]"
Fashion accessory,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",73,Male,2,Prolific,3,8,10,6,6,0,a4ce8204dc010b24.jpg,Fashion accessory,OpenImages,a4ce8204dc010b24_5c919bd147fad40011be82c8_Fashion accessory,UK,"[0, 0, 0, 0]"
Cosmetics,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",73,Male,2,Prolific,3,8,10,6,6,0,a4ce8204dc010b24.jpg,Cosmetics,OpenImages,a4ce8204dc010b24_5c919bd147fad40011be82c8_Cosmetics,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",73,Male,2,Prolific,3,8,10,6,6,0,a4ce8204dc010b24.jpg,Object 0,OpenImages,a4ce8204dc010b24_5c919bd147fad40011be82c8_Object 0,UK,"[0, 0, 0, 0]"
Fashion accessory,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Female,4,Prolific,8,4,8,7,10,1,a4ce8204dc010b24.jpg,Fashion accessory,OpenImages,a4ce8204dc010b24_613f0ce7ced87b6731521401_Fashion accessory,UK,"[0, 0, 0, 0]"
Cosmetics,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Female,4,Prolific,8,4,8,7,10,1,a4ce8204dc010b24.jpg,Cosmetics,OpenImages,a4ce8204dc010b24_613f0ce7ced87b6731521401_Cosmetics,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 1, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",43,Female,4,Prolific,8,4,8,7,10,1,a4ce8204dc010b24.jpg,Object 0,OpenImages,a4ce8204dc010b24_613f0ce7ced87b6731521401_Object 0,UK,"[0, 0, 0, 0]"
street_sign,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,0,CrowdWorks,6,8,8,9,8,3,126305.jpg,street_sign,LVIS,126305_MarcoKl_street_sign,Japan,"[0, 0, 0, 0]"
street_sign,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",49,Other,0,CrowdWorks,4,6,7,5,10,0,126305.jpg,street_sign,LVIS,126305_momocafe_street_sign,Japan,"[0, 0, 0, 0]"
street_sign,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",38,Female,1,Prolific,8,6,9,6,6,1,126305.jpg,street_sign,LVIS,126305_5ae3634d030a700001b72c71_street_sign,UK,"[0, 0, 0, 0]"
street_sign,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",60,Female,8,Prolific,6,6,9,6,5,2,126305.jpg,street_sign,LVIS,126305_60004394bd4b86052a667927_street_sign,UK,"[0, 0, 0, 0]"
Kitchen appliance,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,Kitchen appliance,OpenImages,4416c2f5a9b33f21_daisuke217_Kitchen appliance,Japan,"[0, 0, 0, 0]"
Gas stove,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,Gas stove,OpenImages,4416c2f5a9b33f21_daisuke217_Gas stove,Japan,"[0, 0, 0, 0]"
House,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,House,OpenImages,4416c2f5a9b33f21_daisuke217_House,Japan,"[0, 0, 0, 0]"
Home appliance,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,Home appliance,OpenImages,4416c2f5a9b33f21_daisuke217_Home appliance,Japan,"[0, 0, 0, 0]"
Cabinetry,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,Cabinetry,OpenImages,4416c2f5a9b33f21_daisuke217_Cabinetry,Japan,"[0, 0, 0, 0]"
Drawer,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,Drawer,OpenImages,4416c2f5a9b33f21_daisuke217_Drawer,Japan,"[0, 0, 0, 0]"
Cupboard,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,7,CrowdWorks,8,4,8,6,8,1,4416c2f5a9b33f21.jpg,Cupboard,OpenImages,4416c2f5a9b33f21_daisuke217_Cupboard,Japan,"[0, 0, 0, 0]"
Kitchen appliance,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Female,6,CrowdWorks,4,6,9,7,4,2,4416c2f5a9b33f21.jpg,Kitchen appliance,OpenImages,4416c2f5a9b33f21_s0608_Kitchen appliance,Japan,"[0, 0, 0, 0]"
Gas stove,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Female,6,CrowdWorks,4,6,9,7,4,2,4416c2f5a9b33f21.jpg,Gas stove,OpenImages,4416c2f5a9b33f21_s0608_Gas stove,Japan,"[0, 0, 0, 0]"
House,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Female,6,CrowdWorks,4,6,9,7,4,2,4416c2f5a9b33f21.jpg,House,OpenImages,4416c2f5a9b33f21_s0608_House,Japan,"[0, 0, 0, 0]"
Home appliance,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Female,6,CrowdWorks,4,6,9,7,4,2,4416c2f5a9b33f21.jpg,Home appliance,OpenImages,4416c2f5a9b33f21_s0608_Home appliance,Japan,"[0, 0, 0, 0]"
Cabinetry,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Female,6,CrowdWorks,4,6,9,7,4,2,4416c2f5a9b33f21.jpg,Cabinetry,OpenImages,4416c2f5a9b33f21_s0608_Cabinetry,Japan,"[0, 0, 0, 0]"
Drawer,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",25,Female,6,CrowdWorks,4,6,9,7,4,2,4416c2f5a9b33f21.jpg,Drawer,OpenImages,4416c2f5a9b33f21_s0608_Drawer,Japan,"[0, 0, 0, 0]"
