,image_path,category,size_group,position_group,ratio_group,bbox,informativeness,informationType,informativeness_group,"group (size, position, ratio)",bbox_name
30,20291.jpg,Printed Material,high,high,high,"[[128, 497, 298, 141], [128, 497, 298, 141]]",5.0,"[1, 0, 0, 1, 0]",high,high_high_high,20291.jpg_Printed Material
31,1713ee115f571a3d.jpg,Toy,high,high,high,"[[2, 0, 316, 277]]",3.0,"[0, 0, 1, 0, 0]",middle,high_high_high,1713ee115f571a3d.jpg_Toy
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,2e0982a26b23f67a.jpg,Clothing,high,high,low,"[[21, 265, 260, 416]]",4.0,"[1, 0, 0, 0, 0]",middle,high_high_low,2e0982a26b23f67a.jpg_Clothing
41,,,,,,,,,,,
42,1b5a2df8bba6d498.jpg,Others,high,high,low,"[[0, 0, 228, 495], [0, 0, 228, 495]]",0.5,"[0, 1, 1, 1, 0]",low,high_high_low,1b5a2df8bba6d498.jpg_Others
43,,,,,,,,,,,
44,09453a7c716a9ef3.jpg,Place Identifier,high,high,low,"[[0, 0, 286, 555], [0, 0, 286, 555], [0, 0, 286, 555]]",3.67,"[0, 1, 0, 0, 0]",middle,high_high_low,09453a7c716a9ef3.jpg_Place Identifier
45,7ae56b9a673b49cb.jpg,Scenery,high,high,low,"[[0, 0, 190, 1022], [0, 0, 190, 1022]]",4.0,"[0, 1, 0, 0, 0]",middle,high_high_low,7ae56b9a673b49cb.jpg_Scenery
46,683307758eb4fd7c.jpg,Printed Material,high,high,low,"[[0, 0, 180, 682]]",4.0,"[0, 0, 0, 1, 0]",middle,high_high_low,683307758eb4fd7c.jpg_Printed Material
47,040dd20f15657190.jpg,Vehicle Plate,high,high,low,"[[831, 22, 192, 662]]",4.0,"[0, 0, 0, 1, 0]",middle,high_high_low,040dd20f15657190.jpg_Vehicle Plate
48,02c704b941566bc9.jpg,Person,high,high,low,"[[0, 49, 259, 631], [0, 51, 259, 628], [0, 49, 259, 631], [0, 51, 259, 628], [0, 49, 259, 631], [0, 51, 259, 628], [0, 49, 259, 631], [0, 51, 259, 628]]",4.75,"[1, 1, 1, 1, 0]",high,high_high_low,02c704b941566bc9.jpg_Person
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,007f71665b0812a7.jpg,Screen,high,high,low,"[[0, 76, 278, 502], [0, 76, 278, 502]]",3.0,"[1, 0, 0, 1, 0]",middle,high_high_low,007f71665b0812a7.jpg_Screen
56,,,,,,,,,,,
57,1b5a2df8bba6d498.jpg,Book,high,high,low,"[[0, 0, 217, 500], [0, 0, 217, 500]]",2.0,"[1, 0, 1, 1, 0]",low,high_high_low,1b5a2df8bba6d498.jpg_Book
58,110435.jpg,Pet,high,high,low,"[[7, 123, 141, 224]]",4.0,"[1, 0, 0, 0, 0]",middle,high_high_low,110435.jpg_Pet
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,2e969144f13eb1dc.jpg,Place Identifier,high,high,middle,"[[689, 226, 332, 347]]",5.0,"[0, 1, 0, 0, 0]",high,high_high_middle,2e969144f13eb1dc.jpg_Place Identifier
69,0386a1c1ca5b2da7.jpg,Others,high,high,middle,"[[643, 372, 374, 395], [643, 372, 374, 395]]",3.0,"[1, 0, 0, 1, 0]",middle,high_high_middle,0386a1c1ca5b2da7.jpg_Others
70,,,,,,,,,,,
71,0fa1f463189c8e42.jpg,Others,high,high,middle,"[[0, 217, 309, 356]]",6.0,"[0, 0, 1, 1, 0]",high,high_high_middle,0fa1f463189c8e42.jpg_Others
72,,,,,,,,,,,
73,,,,,,,,,,,
74,259336.jpg,Screen,high,high,middle,"[[420, 0, 219, 230], [420, 0, 219, 230], [420, 0, 219, 230]]",4.33,"[1, 1, 0, 1, 1]",high,high_high_middle,259336.jpg_Screen
75,,,,,,,,,,,
76,,,,,,,,,,,
77,0931a086102a933f.jpg,Clothing,high,high,middle,"[[721, 293, 302, 371], [721, 293, 302, 371]]",5.0,"[1, 0, 0, 1, 1]",high,high_high_middle,0931a086102a933f.jpg_Clothing
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,0a7c597abf1e90d4.jpg,Finger,high,high,middle,"[[0, 342, 364, 423]]",2.0,"[0, 0, 0, 0, 1]",low,high_high_middle,0a7c597abf1e90d4.jpg_Finger
84,410033.jpg,Home interior,high,high,middle,"[[0, 0, 251, 221], [0, 0, 251, 221]]",4.5,"[0, 1, 0, 0, 1]",high,high_high_middle,410033.jpg_Home interior
85,029847f4ae24dcfd.jpg,Pet,high,high,middle,"[[14, 326, 286, 441]]",4.0,"[1, 1, 1, 1, 0]",middle,high_high_middle,029847f4ae24dcfd.jpg_Pet
86,000a1249af2bc5f0.jpg,Person,high,high,middle,"[[18, 61, 292, 372], [0, 0, 314, 419], [18, 61, 292, 372], [0, 0, 314, 419]]",2.0,"[1, 0, 1, 1, 0]",low,high_high_middle,000a1249af2bc5f0.jpg_Person
87,,,,,,,,,,,
88,,,,,,,,,,,
89,12145.jpg,Place Identifier,high,high,middle,"[[419, 0, 209, 273], [419, 0, 209, 273]]",5.0,"[0, 1, 1, 0, 0]",high,high_high_middle,12145.jpg_Place Identifier
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,5bcc87c13b42e844.jpg,Clothing,high,low,high,"[[59, 388, 528, 460]]",5.0,"[1, 0, 0, 0, 0]",high,high_low_high,5bcc87c13b42e844.jpg_Clothing
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,e034b5124fbd1d53.jpg,Photo,high,low,high,"[[11, 257, 756, 572]]",1.0,"[1, 0, 0, 1, 0]",low,high_low_high,e034b5124fbd1d53.jpg_Photo
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,0543ad6f9b0f0927.jpg,Food,high,low,high,"[[69, 418, 557, 468]]",5.0,"[0, 1, 0, 1, 0]",high,high_low_high,0543ad6f9b0f0927.jpg_Food
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,,,,,,,,,,,
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,45a98c6eb828a0c9.jpg,Person,high,low,high,"[[51, 227, 734, 492], [51, 227, 734, 492]]",6.0,"[1, 1, 1, 1, 1]",high,high_low_high,45a98c6eb828a0c9.jpg_Person
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,02717d30304f4849.jpg,Others,high,low,high,"[[108, 204, 840, 283]]",4.0,"[0, 1, 0, 0, 0]",middle,high_low_high,02717d30304f4849.jpg_Others
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,0f7ffb243dbc9d92.jpg,Vehicle Plate,high,low,high,"[[131, 192, 816, 379]]",4.0,"[0, 0, 0, 1, 0]",middle,high_low_high,0f7ffb243dbc9d92.jpg_Vehicle Plate
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
178,,,,,,,,,,,
179,,,,,,,,,,,
180,,,,,,,,,,,
181,,,,,,,,,,,
182,,,,,,,,,,,
183,,,,,,,,,,,
184,,,,,,,,,,,
185,,,,,,,,,,,
186,,,,,,,,,,,
187,,,,,,,,,,,
188,,,,,,,,,,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,,,,,,,,,,
192,,,,,,,,,,,
193,,,,,,,,,,,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,00a36f96e31731c4.jpg,Screen,high,low,high,"[[340, 166, 385, 311], [340, 166, 385, 311]]",5.5,"[1, 0, 1, 1, 1]",high,high_low_high,00a36f96e31731c4.jpg_Screen
197,,,,,,,,,,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,04efbfa009755571.jpg,Scenery,high,low,high,"[[0, 230, 1024, 279]]",2.0,"[0, 1, 0, 0, 0]",low,high_low_high,04efbfa009755571.jpg_Scenery
208,,,,,,,,,,,
209,29614732b9d68b94.jpg,Toy,high,low,high,"[[29, 301, 994, 345]]",1.0,"[0, 1, 1, 1, 0]",low,high_low_high,29614732b9d68b94.jpg_Toy
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
213,2a4a981209d491b5.jpg,Book,high,low,high,"[[16, 294, 1007, 208]]",6.0,"[1, 1, 0, 1, 0]",high,high_low_high,2a4a981209d491b5.jpg_Book
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,108762.jpg,Home interior,high,low,high,"[[40, 146, 425, 333], [40, 146, 425, 333]]",3.5,"[1, 1, 0, 1, 1]",middle,high_low_high,108762.jpg_Home interior
218,,,,,,,,,,,
219,062973d55a1303d6.jpg,Machine,high,low,high,"[[182, 97, 641, 344]]",4.0,"[0, 0, 0, 1, 0]",middle,high_low_high,062973d55a1303d6.jpg_Machine
220,,,,,,,,,,,
221,,,,,,,,,,,
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,,,,,,,,,,,
232,088f6016c3222b4d.jpg,Identity,high,low,high,"[[0, 237, 599, 127], [0, 237, 599, 127], [0, 237, 599, 127], [0, 237, 599, 127]]",2.25,"[1, 1, 1, 1, 0]",middle,high_low_high,088f6016c3222b4d.jpg_Identity
233,114759.jpg,Place Identifier,high,low,high,"[[8, 254, 324, 102]]",2.0,"[0, 1, 0, 0, 0]",low,high_low_high,114759.jpg_Place Identifier
234,5f000354e0e21c03.jpg,Cosmetics,high,low,high,"[[0, 150, 871, 576]]",3.0,"[0, 0, 0, 1, 1]",middle,high_low_high,5f000354e0e21c03.jpg_Cosmetics
235,198641.jpg,Pet,high,low,high,"[[142, 193, 352, 228]]",4.0,"[0, 1, 0, 1, 0]",middle,high_low_high,198641.jpg_Pet
236,,,,,,,,,,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,,,,,,,,,,,
242,134542.jpg,Printed Material,high,low,high,"[[0, 123, 550, 292], [0, 123, 550, 292], [0, 123, 550, 292]]",3.67,"[0, 1, 0, 1, 0]",middle,high_low_high,134542.jpg_Printed Material
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,,,,,,,,,,,
247,,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,1e5434d089338ca9.jpg,Others,high,low,low,"[[263, 70, 198, 609], [263, 70, 198, 609], [263, 70, 198, 609]]",4.0,"[1, 0, 0, 1, 0]",middle,high_low_low,1e5434d089338ca9.jpg_Others
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,038ee0bf31929792.jpg,Person,high,low,low,"[[121, 31, 347, 636], [121, 31, 347, 636]]",5.0,"[1, 1, 0, 1, 0]",high,high_low_low,038ee0bf31929792.jpg_Person
286,,,,,,,,,,,
287,,,,,,,,,,,
288,17936.jpg,Pet,high,low,low,"[[320, 12, 204, 415]]",4.0,"[1, 0, 0, 1, 0]",middle,high_low_low,17936.jpg_Pet
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
301,123053.jpg,Home interior,high,low,low,"[[199, 129, 168, 394]]",1.0,"[0, 1, 0, 0, 0]",low,high_low_low,123053.jpg_Home interior
302,36a26f43ca6afd6e.jpg,Musical instrument,high,low,low,"[[152, 114, 433, 909]]",3.0,"[1, 1, 1, 0, 0]",middle,high_low_low,36a26f43ca6afd6e.jpg_Musical instrument
303,,,,,,,,,,,
304,,,,,,,,,,,
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,,,,,,,,,,,
309,,,,,,,,,,,
310,,,,,,,,,,,
311,,,,,,,,,,,
312,,,,,,,,,,,
313,bc527ffd7ef408bb.jpg,Scenery,high,low,low,"[[192, 32, 387, 992]]",5.0,"[0, 1, 1, 0, 0]",high,high_low_low,bc527ffd7ef408bb.jpg_Scenery
314,bddfd477fa68ee18.jpg,Cosmetics,high,low,low,"[[297, 90, 252, 553], [472, 103, 228, 547], [297, 90, 252, 553], [472, 103, 228, 547]]",3.0,"[0, 0, 1, 1, 0]",middle,high_low_low,bddfd477fa68ee18.jpg_Cosmetics
315,,,,,,,,,,,
316,,,,,,,,,,,
317,,,,,,,,,,,
318,,,,,,,,,,,
319,,,,,,,,,,,
320,,,,,,,,,,,
321,206501.jpg,Toy,high,low,low,"[[230, 1, 178, 424]]",4.0,"[0, 0, 0, 1, 0]",middle,high_low_low,206501.jpg_Toy
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
325,,,,,,,,,,,
326,,,,,,,,,,,
327,171685.jpg,Vehicle Plate,high,low,low,"[[203, 42, 235, 408], [203, 42, 235, 408]]",2.5,"[1, 0, 1, 0, 0]",middle,high_low_low,171685.jpg_Vehicle Plate
328,,,,,,,,,,,
329,,,,,,,,,,,
330,,,,,,,,,,,
331,b61fffa88a151227.jpg,Clothing,high,low,low,"[[153, 268, 291, 523], [153, 268, 291, 523]]",0.5,"[1, 0, 0, 1, 1]",low,high_low_low,b61fffa88a151227.jpg_Clothing
332,,,,,,,,,,,
333,,,,,,,,,,,
334,,,,,,,,,,,
335,,,,,,,,,,,
336,,,,,,,,,,,
337,,,,,,,,,,,
338,,,,,,,,,,,
339,,,,,,,,,,,
340,,,,,,,,,,,
341,,,,,,,,,,,
342,,,,,,,,,,,
343,5b5f5c5c05f700b3.jpg,Clothing,high,low,middle,"[[140, 341, 480, 674], [140, 341, 480, 674]]",2.5,"[0, 0, 0, 1, 0]",middle,high_low_middle,5b5f5c5c05f700b3.jpg_Clothing
344,,,,,,,,,,,
345,,,,,,,,,,,
346,,,,,,,,,,,
347,,,,,,,,,,,
348,,,,,,,,,,,
349,,,,,,,,,,,
350,,,,,,,,,,,
351,,,,,,,,,,,
352,,,,,,,,,,,
353,,,,,,,,,,,
354,,,,,,,,,,,
355,,,,,,,,,,,
356,,,,,,,,,,,
357,,,,,,,,,,,
358,,,,,,,,,,,
359,,,,,,,,,,,
360,,,,,,,,,,,
361,,,,,,,,,,,
362,,,,,,,,,,,
363,146439.jpg,Pet,high,low,middle,"[[96, 282, 177, 236]]",4.0,"[0, 1, 0, 0, 0]",middle,high_low_middle,146439.jpg_Pet
364,,,,,,,,,,,
365,,,,,,,,,,,
366,,,,,,,,,,,
367,,,,,,,,,,,
368,,,,,,,,,,,
369,,,,,,,,,,,
370,,,,,,,,,,,
371,,,,,,,,,,,
372,,,,,,,,,,,
373,,,,,,,,,,,
374,,,,,,,,,,,
375,,,,,,,,,,,
376,,,,,,,,,,,
377,,,,,,,,,,,
378,,,,,,,,,,,
379,,,,,,,,,,,
380,,,,,,,,,,,
381,,,,,,,,,,,
382,,,,,,,,,,,
383,,,,,,,,,,,
384,,,,,,,,,,,
385,,,,,,,,,,,
386,,,,,,,,,,,
387,,,,,,,,,,,
388,,,,,,,,,,,
389,,,,,,,,,,,
390,,,,,,,,,,,
391,,,,,,,,,,,
392,,,,,,,,,,,
393,,,,,,,,,,,
394,,,,,,,,,,,
395,5c0bed3c817bd403.jpg,Scenery,high,low,middle,"[[309, 0, 573, 518], [309, 0, 573, 518]]",3.5,"[0, 1, 0, 0, 0]",middle,high_low_middle,5c0bed3c817bd403.jpg_Scenery
396,,,,,,,,,,,
397,,,,,,,,,,,
398,,,,,,,,,,,
399,,,,,,,,,,,
400,,,,,,,,,,,
401,,,,,,,,,,,
402,,,,,,,,,,,
403,,,,,,,,,,,
404,,,,,,,,,,,
405,,,,,,,,,,,
406,,,,,,,,,,,
407,,,,,,,,,,,
408,,,,,,,,,,,
409,,,,,,,,,,,
410,,,,,,,,,,,
411,,,,,,,,,,,
412,,,,,,,,,,,
413,,,,,,,,,,,
414,,,,,,,,,,,
415,28c9331905cb8c5b.jpg,Table,high,low,middle,"[[1, 288, 379, 522]]",4.0,"[0, 0, 0, 1, 0]",middle,high_low_middle,28c9331905cb8c5b.jpg_Table
416,,,,,,,,,,,
417,,,,,,,,,,,
418,80c164df03bf6770.jpg,Others,high,low,middle,"[[350, 0, 490, 683]]",4.0,"[0, 1, 1, 1, 0]",middle,high_low_middle,80c164df03bf6770.jpg_Others
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,28c9331905cb8c5b.jpg,Book,high,low,middle,"[[49, 360, 306, 433]]",4.0,"[0, 0, 0, 1, 0]",middle,high_low_middle,28c9331905cb8c5b.jpg_Book
424,,,,,,,,,,,
425,104564.jpg,Food,high,low,middle,"[[137, 20, 339, 336], [137, 20, 339, 336], [137, 20, 339, 336], [137, 20, 339, 336]]",3.0,"[1, 0, 0, 0, 0]",middle,high_low_middle,104564.jpg_Food
426,,,,,,,,,,,
427,,,,,,,,,,,
428,145381.jpg,Toy,high,low,middle,"[[249, 52, 257, 323], [249, 52, 257, 323]]",3.5,"[0, 0, 1, 1, 0]",middle,high_low_middle,145381.jpg_Toy
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,,,,,,,,,,,
433,,,,,,,,,,,
434,,,,,,,,,,,
435,,,,,,,,,,,
436,,,,,,,,,,,
437,,,,,,,,,,,
438,,,,,,,,,,,
439,004e21eb2e686f40.jpg,Person,high,low,middle,"[[203, 184, 420, 520]]",4.0,"[1, 0, 0, 0, 0]",middle,high_low_middle,004e21eb2e686f40.jpg_Person
440,,,,,,,,,,,
441,,,,,,,,,,,
442,,,,,,,,,,,
443,,,,,,,,,,,
444,,,,,,,,,,,
445,144522.jpg,Vehicle Plate,high,low,middle,"[[112, 14, 395, 402], [112, 14, 395, 402]]",4.5,"[0, 1, 1, 1, 0]",high,high_low_middle,144522.jpg_Vehicle Plate
446,,,,,,,,,,,
447,,,,,,,,,,,
448,,,,,,,,,,,
449,,,,,,,,,,,
450,,,,,,,,,,,
451,,,,,,,,,,,
452,,,,,,,,,,,
453,,,,,,,,,,,
454,07b12cccb39c75a5.jpg,Finger,high,low,middle,"[[0, 193, 556, 828], [249, 232, 339, 483]]",2.0,"[0, 1, 0, 0, 0]",low,high_low_middle,07b12cccb39c75a5.jpg_Finger
455,,,,,,,,,,,
456,,,,,,,,,,,
457,,,,,,,,,,,
458,,,,,,,,,,,
459,,,,,,,,,,,
460,,,,,,,,,,,
461,,,,,,,,,,,
462,,,,,,,,,,,
463,,,,,,,,,,,
464,,,,,,,,,,,
465,,,,,,,,,,,
466,,,,,,,,,,,
467,208b5dac144c51b6.jpg,Place Identifier,high,low,middle,"[[190, 0, 570, 683], [190, 0, 570, 683]]",3.0,"[0, 1, 0, 0, 0]",middle,high_low_middle,208b5dac144c51b6.jpg_Place Identifier
468,,,,,,,,,,,
469,,,,,,,,,,,
470,,,,,,,,,,,
471,,,,,,,,,,,
472,,,,,,,,,,,
473,,,,,,,,,,,
474,,,,,,,,,,,
475,,,,,,,,,,,
476,,,,,,,,,,,
477,,,,,,,,,,,
478,,,,,,,,,,,
479,376b2bae838c36fb.jpg,Photo,high,low,middle,"[[63, 172, 548, 730]]",3.0,"[0, 0, 0, 1, 0]",middle,high_low_middle,376b2bae838c36fb.jpg_Photo
480,,,,,,,,,,,
481,,,,,,,,,,,
482,,,,,,,,,,,
483,,,,,,,,,,,
484,,,,,,,,,,,
485,,,,,,,,,,,
486,,,,,,,,,,,
487,,,,,,,,,,,
488,,,,,,,,,,,
489,,,,,,,,,,,
490,,,,,,,,,,,
491,,,,,,,,,,,
492,,,,,,,,,,,
493,,,,,,,,,,,
494,,,,,,,,,,,
495,,,,,,,,,,,
496,,,,,,,,,,,
497,,,,,,,,,,,
498,,,,,,,,,,,
499,050874abcc46c370.jpg,Identity,high,low,middle,"[[84, 44, 579, 577], [84, 44, 579, 577], [84, 44, 579, 577]]",3.33,"[1, 0, 0, 1, 1]",middle,high_low_middle,050874abcc46c370.jpg_Identity
500,,,,,,,,,,,
501,329566.jpg,Screen,high,low,middle,"[[110, 44, 164, 154], [110, 44, 164, 154]]",3.0,"[0, 0, 1, 1, 0]",middle,high_low_middle,329566.jpg_Screen
502,,,,,,,,,,,
503,,,,,,,,,,,
504,,,,,,,,,,,
505,,,,,,,,,,,
506,,,,,,,,,,,
507,,,,,,,,,,,
508,1fe4f3b33573cf79.jpg,Musical instrument,high,low,middle,"[[258, 324, 364, 484]]",2.0,"[0, 0, 0, 1, 0]",low,high_low_middle,1fe4f3b33573cf79.jpg_Musical instrument
509,10092.jpg,Home interior,high,low,middle,"[[89, 56, 348, 365], [89, 56, 348, 365], [89, 56, 348, 365]]",3.33,"[0, 1, 1, 1, 0]",middle,high_low_middle,10092.jpg_Home interior
510,,,,,,,,,,,
511,,,,,,,,,,,
512,,,,,,,,,,,
513,,,,,,,,,,,
514,,,,,,,,,,,
515,,,,,,,,,,,
516,,,,,,,,,,,
517,,,,,,,,,,,
518,,,,,,,,,,,
519,108718.jpg,Pet,high,middle,high,"[[72, 316, 219, 162]]",4.0,"[1, 0, 0, 0, 0]",middle,high_middle_high,108718.jpg_Pet
520,,,,,,,,,,,
521,5337819360fbbe51.jpg,Others,high,middle,high,"[[0, 601, 687, 298]]",4.0,"[0, 1, 0, 0, 0]",middle,high_middle_high,5337819360fbbe51.jpg_Others
522,,,,,,,,,,,
523,,,,,,,,,,,
524,,,,,,,,,,,
525,,,,,,,,,,,
526,,,,,,,,,,,
527,,,,,,,,,,,
528,,,,,,,,,,,
529,0ca4cd34574b30be.jpg,Person,high,middle,high,"[[0, 366, 937, 369], [0, 366, 937, 369], [0, 366, 937, 369]]",5.0,"[1, 1, 1, 1, 0]",high,high_middle_high,0ca4cd34574b30be.jpg_Person
530,,,,,,,,,,,
531,,,,,,,,,,,
532,,,,,,,,,,,
533,,,,,,,,,,,
534,,,,,,,,,,,
535,,,,,,,,,,,
536,,,,,,,,,,,
537,,,,,,,,,,,
